Rank,Symbol,Name,Composite Volatility Score,Current Price,3Y Return %,Max Drawdown %,Annualized Volatility %,ATR Normalized %,Recent Vol (6M) %,Older Vol %,Volatility Trend,Current Regime,High Vol Regime %,Bollinger Width %,Avg Gap %,Max Gap %,Gap Frequency %,Risk-Adjusted Return,Daily Volatility %,Total Days,Token
1,SHANKARA,SHANKARA BLDG PRODUCT,89.64,134.5,-81.58,-88.96,61.2,36.34,121.88,38.98,Increasing,Normal,8.33,309.41,0.73,74.26,4.16,-1.333,3.85,747,5202177
2,KIOCL,KIOCL,38.98,505.4,169.62,-73.84,61.94,7.47,75.34,58.75,Increasing,Normal,0,44.8,0.78,7.51,6.3,2.739,3.9,747,4896257
3,CMRSL-SM,CYBER MEDIA RES & SER,38.76,74,-69.83,-82.63,64.74,4.51,58.41,65.81,Decreasing,Normal,0,29.26,3.19,18.06,65.35,-1.079,4.08,633,2930433
4,INDOTHAI,INDO THAI SEC,37.93,376,2178.79,-96.07,48.39,4,42.57,49.5,Decreasing,Normal,8.33,87.07,1.8,14.04,36.46,45.028,3.05,747,6555649
5,URAVIDEF,URAVI DEFENCE &TECH,37.7,247,98.87,-86.04,52.9,7.64,42.16,54.77,Decreasing,Normal,9.09,67.64,1.98,9.45,41.73,1.869,3.33,684,4370177
6,NAGREEKCAP,NAGREEKA CAP & INFR.LTD,37.67,41,262.83,-75.64,56.25,5.68,54.44,56.54,Decreasing,Normal,0,48.26,2.6,9.97,56.28,4.673,3.54,742,3825153
7,KAVDEFENCE-BE,KAVVERI DFS & WIR TEC,37.25,119.71,901.76,-97.3,50.56,5.78,53.3,49.87,Increasing,Normal,0,59.85,2.53,9.91,56.04,17.835,3.19,738,3903489
8,VIVIANA-SM,VIVIANA POWER TECH,37.17,1596,1775.44,-96.3,61.4,6,52.94,63.04,Decreasing,Normal,8.33,35.63,2.39,10.81,49.52,28.915,3.87,726,2807553
9,EIMCOELECO,EIMCO ELECON (INDIA),37.08,1952.1,428.17,-90.47,57.34,7.28,71.73,54.05,Increasing,Normal,0,40.55,1.27,13.42,20.24,7.467,3.61,747,1034241
10,TNTELE,TAMILNADU TELECOMMUNICATI,37.07,13.83,66.63,-79.62,52.16,6.44,79.91,44.55,Increasing,High,8.33,38.92,2.29,14.8,53.96,1.277,3.29,746,899073
11,MCLEODRUSS,MCLEOD RUSSEL INDIA,36.85,51.7,79.2,-71.2,55.77,4.83,50.13,56.77,Decreasing,Normal,0,59.78,1.45,10,22.39,1.42,3.51,747,3057409
12,SOMATEX-BE,SOMA TEXTILEI NDUSTRIES L,36.5,75.94,826.1,-93.57,61.57,5.12,70.72,59.59,Increasing,Normal,8.33,21.65,2.21,20,45.58,13.417,3.88,747,2330625
13,MINDTECK,MINDTECK (INDIA),36.2,275.68,125.23,-78.26,59.77,5.85,59.43,59.81,Decreasing,Normal,0,40.35,1.22,9.99,17.72,2.095,3.77,746,4620545
14,INFOMEDIA-BE,INFOMEDIA PRESS,35.9,7.23,66.21,-60.57,54.25,7.16,61.21,53.25,Increasing,Normal,0,31.11,2.85,9.97,65.7,1.22,3.42,619,3505665
15,WEWIN,WE WIN,35.66,65.97,44.99,-68.35,56.62,5.34,54.39,57.04,Decreasing,Normal,8.33,41.98,1.85,18.61,32.71,0.795,3.57,747,2524673
16,INDBANK,INDBANK MERCH BANK,35.5,43.58,85.45,-66.78,56.35,5.64,56.96,56.22,Increasing,Normal,16.67,48.97,0.88,8.11,8.85,1.516,3.55,747,4334849
