Rank,Symbol,Name,Average Price,Current Price,Max Daily Fluctuation %,Min Daily Fluctuation %,Avg Daily Fluctuation %,Year High,Year Low,Yearly Range %,Total Days,Token
1,3IINFO-RE-BE,"3I INFOTECH",1.79,1.59,56.10,14.94,28.24,3.00,1.26,97.07,4,194587393
2,837REC33-N7,"837REC33-N7",34896.55,34000.00,49.10,0.00,26.11,58000.00,19370.00,110.70,11,7932417
3,94SCL27-ZG,"94SCL27-ZG",912.81,855.62,16.37,10.37,13.37,970.00,811.25,17.39,2,6129153
4,835SCL23A-YH,"835SCL23A-YH",1024.21,1024.21,12.13,12.13,12.13,1024.21,900.00,12.13,1,5382657
5,JAINREC,"JAIN RESOURCE RECYCLING L",324.79,348.00,22.16,4.18,11.95,356.60,247.57,33.57,7,194366465
6,950ISF27-N0,"950ISF27-N0",75413.76,72900.00,33.33,0.00,11.85,89209.83,59473.22,39.43,6,7560449
7,GVPTECHPP-E1,"GVPTECH RE.1 PPD UP",4.95,4.47,21.24,0.00,10.30,6.00,3.82,44.06,45,194082817
8,FINKURVE,"FINKURVE FINANCIAL SERV L",119.17,123.00,18.09,7.24,10.08,134.90,105.00,25.09,7,194365185
9,INDIA VIX,"INDIA VIX",14.08,10.15,41.38,2.57,9.90,23.19,9.40,97.95,250,264969
10,SOLARWORLD,"SOLARWORLD ENERGY SOL",321.52,327.00,21.02,3.38,7.96,388.50,295.35,28.97,8,194541825
11,RNBDENIMS,"R&B DENIMS",116.17,127.02,27.64,1.98,7.87,136.80,97.55,33.79,26,194299137
12,JARO,"JARO INS OF TEC MG N RE L",728.49,713.50,23.17,4.19,7.66,890.00,675.50,29.44,8,194547457
13,1025SCL34Z-N1,"1025SCL34Z-N1",928.36,921.00,47.71,0.00,7.59,1170.00,650.00,56.01,17,7406849
14,GKENERGY,"GK ENERGY",175.17,193.10,12.05,4.23,7.49,197.35,155.16,24.09,10,194316289
15,SGL,"STL GLOBAL",15.08,14.50,19.48,0.47,7.42,20.89,10.04,71.94,250,3421953
16,990SCL26I-AV,"990SCL26I-AV",581.67,570.00,20.63,0.00,7.36,700.00,516.00,31.63,6,4483841
17,PACEDIGITK,"PACE DIGITEK",217.85,223.80,11.01,4.88,7.32,231.95,206.39,11.73,5,194391553
18,1015SCL28A-AL,"1015SCL28A-AL",811.16,699.60,27.90,0.00,7.29,1000.00,699.60,37.03,18,3765761
19,GLOTTIS,"GLOTTIS",82.91,81.50,14.13,3.81,7.22,93.00,81.00,14.47,4,194589697
20,GCSL,"GRETEX CORPORATE SERVICES",266.61,229.25,16.64,2.38,7.14,333.30,229.00,39.12,26,194300417
21,740IIFCL33-N1,"740IIFCL33-N1",1186.33,1170.00,45.45,0.00,7.10,1600.00,1094.10,42.64,52,5133313
22,LYPSAGEMS,"LYPSA GEMS & JEWEL",7.15,6.66,24.06,0.00,7.08,10.93,5.35,78.03,250,8055809
23,VCL,"VAXTEX COTFAB",0.90,1.02,28.05,0.00,6.98,1.31,0.60,78.90,250,2309121
24,GLOBALE,"GLOBALE TESSILE",20.83,13.27,15.33,0.44,6.98,37.62,12.04,122.78,250,6382593
25,CINEVISTA,"CINEVISTA",17.31,17.93,24.09,1.95,6.97,24.88,13.21,67.42,250,2054145
26,DNAMEDIA,"DILIGENT MEDIA CORP",5.16,4.57,20.40,0.00,6.97,7.17,4.00,61.48,250,164097
27,TIGERLOGS,"TIGER LOGISTICS (INDIA) L",47.78,44.50,15.58,3.07,6.96,56.69,43.78,27.02,16,194349057
