Symbol,Reason
656KA30-SG,Empty dataset
66RJ30-SG,Empty dataset
66GA30A-SG,Empty dataset
664UP30-SG,Empty dataset
67JK30-SG,Empty dataset
67HR30-SG,Empty dataset
667MH31-SG,Empty dataset
679MP33-SG,Empty dataset
677KA34-SG,Empty dataset
685AP36-SG,Empty dataset
687AP38-SG,Empty dataset
677WB40-SG,Empty dataset
663GJ29-SG,Empty dataset
684TS40-SG,Empty dataset
665KA30-SG,Empty dataset
675KA33-SG,Empty dataset
667UK30-SG,Empty dataset
67ML30-SG,Empty dataset
67NL30-SG,Empty dataset
667RJ30-SG,Empty dataset
67TR30-SG,Empty dataset
668UP30-SG,Empty dataset
676MP33-SG,Empty dataset
67MH28-SG,Empty dataset
674UP30-SG,Empty dataset
68AS30-SG,Empty dataset
674GA30-SG,Empty dataset
67GJ30-SG,Empty dataset
67KA30-SG,Empty dataset
672RJ30-SG,Empty dataset
673SK30-SG,Empty dataset
669TN30-SG,Empty dataset
678KA32-SG,Empty dataset
678MH32-SG,Empty dataset
69PY29-SG,Empty dataset
69AS30A-SG,Empty dataset
683GJ30-SG,Empty dataset
685KA30-SG,Empty dataset
685RJ30-SG,Empty dataset
689GA30-SG,Empty dataset
69ML30-SG,Empty dataset
69UP30-SG,Empty dataset
69UK30A-SG,Empty dataset
697KA31-SG,Empty dataset
71MH32-SG,Empty dataset
696JK35-SG,Empty dataset
704WB35-SG,Empty dataset
705MZ35-SG,Empty dataset
70AP39-SG,Empty dataset
695PN40-SG,Empty dataset
705HR40-SG,Empty dataset
694TS50-SG,Empty dataset
672TN27-SG,Empty dataset
681MH28-SG,Empty dataset
693JH30-SG,Empty dataset
692RJ30-SG,Empty dataset
691AS30-SG,Empty dataset
691NL30-SG,Empty dataset
691UP30A-SG,Empty dataset
69GA30A-SG,Empty dataset
69HP30-SG,Empty dataset
687MH30-SG,Empty dataset
686KA30-SG,Empty dataset
684GJ30-SG,Empty dataset
715JK32-SG,Empty dataset
707MP32-SG,Empty dataset
705MH32-SG,Empty dataset
708KA34-SG,Empty dataset
71AP37-SG,Empty dataset
709WB40-SG,Empty dataset
703AP40-SG,Empty dataset
669PN30-SG,Empty dataset
661KA30-SG,Empty dataset
663MH30-SG,Empty dataset
645MH27-SG,Empty dataset
655MH28-SG,Empty dataset
665ML30-SG,Empty dataset
66RJ30A-SG,Empty dataset
663UP30-SG,Empty dataset
662UK30-SG,Empty dataset
699WB35-SG,Empty dataset
691AP39-SG,Empty dataset
691MP40-SG,Empty dataset
694TS50A-SG,Empty dataset
687AP35-SG,Empty dataset
656AS30-SG,Empty dataset
651KA30-SG,Empty dataset
662JH30-SG,Empty dataset
689MP40-SG,Empty dataset
647MH28-SG,Empty dataset
656MH30-SG,Empty dataset
654UP30-SG,Empty dataset
662KA32-SG,Empty dataset
538CG25-SG,Empty dataset
575PY26-SG,Empty dataset
61RJ27-SG,Empty dataset
645HP29-SG,Empty dataset
651HP30-SG,Empty dataset
64KA30B-SG,Empty dataset
64GJ30A-SG,Empty dataset
642UP30-SG,Empty dataset
642GA30-SG,Empty dataset
644UK30-SG,Empty dataset
645RJ30-SG,Empty dataset
655TR30-SG,Empty dataset
648KA31-SG,Empty dataset
655AP33-SG,Empty dataset
672HR35-SG,Empty dataset
677AP38-SG,Empty dataset
676PN40-SG,Empty dataset
678TS50-SG,Empty dataset
675RJ30-SG,Empty dataset
535CG25-SG,Empty dataset
64KA30C-SG,Empty dataset
64MH30-SG,Empty dataset
643AP30-SG,Empty dataset
646GJ30-SG,Empty dataset
648AS30-SG,Empty dataset
648MZ30-SG,Empty dataset
65NL30-SG,Empty dataset
652PY30-SG,Empty dataset
659UP30-SG,Empty dataset
656MH32-SG,Empty dataset
679AP34-SG,Empty dataset
675KA35-SG,Empty dataset
679PN35-SG,Empty dataset
68JK35-SG,Empty dataset
676MP40-SG,Empty dataset
688WB40-SG,Empty dataset
68TS50-SG,Empty dataset
655GA30-SG,Empty dataset
65GJ30-SG,Empty dataset
659HR30-SG,Empty dataset
647KA30-SG,Empty dataset
661RJ30-SG,Empty dataset
66SK30-SG,Empty dataset
66UP30-SG,Empty dataset
684MZ34-SG,Empty dataset
675KA34-SG,Empty dataset
679MP40-SG,Empty dataset
68TS50A-SG,Empty dataset
654AR30-SG,Empty dataset
649KA30A-SG,Empty dataset
654RJ30A-SG,Empty dataset
66AS30-SG,Empty dataset
66PN30-SG,Empty dataset
672KA33-SG,Empty dataset
678WB35-SG,Empty dataset
681TR35-SG,Empty dataset
53BR25-SG,Empty dataset
532CG25-SG,Empty dataset
532AS25-SG,Empty dataset
635MH28-SG,Empty dataset
653HP29-SG,Empty dataset
66HP30-SG,Empty dataset
65KA30A-SG,Empty dataset
65GJ30A-SG,Empty dataset
652MH30-SG,Empty dataset
657GA30-SG,Empty dataset
658UP30-SG,Empty dataset
659RJ30A-SG,Empty dataset
664AS30-SG,Empty dataset
666KA32-SG,Empty dataset
667MH32-SG,Empty dataset
67JK32-SG,Empty dataset
673TN40-SG,Empty dataset
673TS50-SG,Empty dataset
622KL27-SG,Empty dataset
64AP28-SG,Empty dataset
649GJ29-SG,Empty dataset
653KA30-SG,Empty dataset
66MN30-SG,Empty dataset
662RJ30-SG,Empty dataset
665JK30-SG,Empty dataset
668JH32-SG,Empty dataset
668AP33-SG,Empty dataset
669KA37-SG,Empty dataset
673PN40-SG,Empty dataset
674TS50-SG,Empty dataset
66RJ30B-SG,Empty dataset
662AS30-SG,Empty dataset
662NL30-SG,Empty dataset
668MZ31-SG,Empty dataset
668AP35A-SG,Empty dataset
668KA36-SG,Empty dataset
671WB40-SG,Empty dataset
671TS40-SG,Empty dataset
593CG26-SG,Empty dataset
654KA30-SG,Empty dataset
655GA30A-SG,Empty dataset
535RJ25-SG,Empty dataset
654GA30A-SG,Empty dataset
652KA30-SG,Empty dataset
656UP30-SG,Empty dataset
66ML30-SG,Empty dataset
665KA35-SG,Empty dataset
668WB35-SG,Empty dataset
667TS50-SG,Empty dataset
657HP30-SG,Empty dataset
66AS30A-SG,Empty dataset
658GA30A-SG,Empty dataset
657HP30A-SG,Empty dataset
66UP30A-SG,Empty dataset
651KA30B-SG,Empty dataset
663KA34-SG,Empty dataset
669TS40-SG,Empty dataset
662UP30-SG,Empty dataset
541GA25-SG,Empty dataset
532RJ25-SG,Empty dataset
588CG26-SG,Empty dataset
617KL27-SG,Empty dataset
66ML30A-SG,Empty dataset
66RJ30C-SG,Empty dataset
