Rank,Symbol,Name,Token,Exchange,Instrument Type
1,NIFTY 50,"NIFTY 50",256265,NSE,EQ
2,NIFTY BANK,"NIFTY BANK",260105,NSE,EQ
3,NIFTY50 TR 1X INV,"NIFTY50 TR 1X INV",259593,NSE,EQ
4,NIFTY PSE,"NIFTY PSE",262665,NSE,EQ
5,NIFTY PSU BANK,"NIFTY PSU BANK",262921,NSE,EQ
6,NIFTY MEDIA,"NIFTY MEDIA",263945,NSE,EQ
7,NIFTY SMLCAP 50,"NIFTY SMLCAP 50",266761,NSE,EQ
8,NIFTY SMLCAP 100,"NIFTY SMLCAP 100",267017,NSE,EQ
9,NIFTY 500,"NIFTY 500",268041,NSE,EQ
10,NIFTY MID LIQ 15,"NIFTY MID LIQ 15",270601,NSE,EQ
11,NIFTY50 EQL WGT,"NIFTY50 EQL WGT",271625,NSE,EQ
12,NIFTY OIL AND GAS,"NIFTY OIL AND GAS",289033,NSE,EQ
13,NIFTY200 ALPHA 30,"NIFTY200 ALPHA 30",294409,NSE,EQ
14,NIFTY MULTI MFG,"NIFTY MULTI MFG",295177,NSE,EQ
15,NIFTY MULTI INFRA,"NIFTY MULTI INFRA",295433,NSE,EQ
16,NIFTY EV,"NIFTY EV & NEW AGE AUTOMOTIVE",405513,NSE,EQ
17,NIFTY HIGHBETA 50,"NIFTY HIGHBETA 50",405769,NSE,EQ
18,NIFTY MOBILITY,"NIFTY MOBILITY",406281,NSE,EQ
19,NIFTY QLTY LV 30,"NIFTY QUALITY LOW VOLATILITY 30",407049,NSE,EQ
20,NIFTY TOP 10 EW,"NIFTY TOP 10 EQUAL WEIGHT",407561,NSE,EQ
21,NIFTY100 ENH ESG,"NIFTY100 ENHANCED ESG",408585,NSE,EQ
22,NIFTY200 VALUE 30,"NIFTY200 VALUE 30",408841,NSE,EQ
23,NIFTY HOUSING,"NIFTY HOUSING",410889,NSE,EQ
24,ABB,"ABB INDIA",3329,NSE,EQ
25,STYRENIX,"STYRENIX PERFORMANCE",4865,NSE,EQ
26,ACC,"ACC",5633,NSE,EQ
27,ADANIENT,"ADANI ENTERPRISES",6401,NSE,EQ
28,HAPPSTMNDS,"HAPPIEST MINDS TECHNO",12289,NSE,EQ
29,ALEMBICLTD,"ALEMBIC",20225,NSE,EQ
30,BETA-SM,"BETA DRUGS",20737,NSE,EQ
31,APCOTEXIND,"APCOTEX INDUSTRIES LIMITE",39425,NSE,EQ
32,APOLLOHOSP,"APOLLO HOSPITALS ENTER. L",40193,NSE,EQ
33,APOLLOTYRE,"APOLLO TYRES",41729,NSE,EQ
34,ANDHRAPAP,"ANDHRA PAPER",42497,NSE,EQ
35,ASHIMASYN,"ASHIMA",52737,NSE,EQ
36,NIRAJ,"NIRAJ CEMENT STRUC",65281,NSE,EQ
37,ATUL,"ATUL",67329,NSE,EQ
38,CHEMCON,"CHEMCON SPECIAL CHEM",69121,NSE,EQ
39,GICRE,"GENERAL INS CORP OF INDIA",70913,NSE,EQ
40,AUTOAXLES,"AUTOMOTIVE AXLES",71169,NSE,EQ
41,BAJAJHLDNG,"BAJAJ HOLDINGS & INVS",78081,NSE,EQ
42,BAJAJHIND,"BAJAJ HINDUSTHAN SUGAR LT",78849,NSE,EQ
43,TIINDIA,"TUBE INVEST OF INDIA",79873,NSE,EQ
44,BALMLAWRIE,"BALMER LAWRIE & CO",86529,NSE,EQ
45,CAMS,"COMPUTER AGE MNGT SER",87553,NSE,EQ
46,BATAINDIA,"BATA INDIA",94977,NSE,EQ
47,BEL,"BHARAT ELECTRONICS",98049,NSE,EQ
48,MAHLOG,"MAHINDRA LOGISTIC",98561,NSE,EQ
49,BEPL,"BHANSALI ENG. POLYMERS LT",107265,NSE,EQ
50,BHARATFORG,"BHARAT FORGE",108033,NSE,EQ
51,KHADIM,"KHADIM INDIA",108801,NSE,EQ
52,IFGLEXPOR,"IFGL REFRACTORIES",111617,NSE,EQ
53,BHEL,"BHEL",112129,NSE,EQ
54,OSWALGREEN,"OSWAL GREENTECH",120577,NSE,EQ
55,3MINDIA,"3M INDIA",121345,NSE,EQ
56,BIRLACORPN,"BIRLA CORPORATION",122881,NSE,EQ
